id,Attribute,Year
9543,Fantasy,2010
9543,Adventure,2010
9543,Romance,2010
68726,Action,2013
68726,Adventure,2013
68726,Science Fiction,2013
38356,Action,2011
38356,Adventure,2011
38356,Science Fiction,2011
217,Action,2008
217,Adventure,2008
105864,Adventure,2015
105864,Family,2015
105864,Animation,2015
62177,Action,2012
62177,Fantasy,2012
62177,Adventure,2012
62177,Family,2012
62177,Comedy,2012
62177,Animation,2012
188927,Action,2016
188927,Adventure,2016
188927,Science Fiction,2016
10681,Family,2008
10681,Animation,2008
5174,Action,2007
5174,Crime,2007
5174,Thriller,2007
5174,Comedy,2007
14161,Action,2009
14161,Adventure,2009
14161,Science Fiction,2009
17979,Drama,2009
17979,Animation,2009
76757,Action,2015
76757,Fantasy,2015
76757,Adventure,2015
76757,Science Fiction,2015
258489,Action,2016
258489,Adventure,2016
411,Fantasy,2005
411,Adventure,2005
411,Family,2005
246655,Science Fiction,2016
155,Action,2008
155,Crime,2008
155,Drama,2008
155,Thriller,2008
14160,Adventure,2009
14160,Family,2009
14160,Comedy,2009
14160,Animation,2009
15512,Adventure,2009
15512,Family,2009
15512,Science Fiction,2009
15512,Animation,2009
1726,Action,2008
1726,Adventure,2008
1726,Science Fiction,2008
44826,Adventure,2011
44826,Family,2011
44826,Drama,2011
8487,Action,1999
8487,Adventure,1999
8487,Science Fiction,1999
8487,Comedy,1999
8487,Western,1999
1735,Action,2008
1735,Fantasy,2008
1735,Adventure,2008
297761,Action,2016
297761,Crime,2016
297761,Fantasy,2016
297761,Adventure,2016
297761,Science Fiction,2016
2698,Fantasy,2007
2698,Family,2007
2698,Comedy,2007
137113,Action,2014
137113,Science Fiction,2014
9804,Action,1995
9804,Adventure,1995
14869,Action,2009
14869,Adventure,2009
14869,Science Fiction,2009
14869,Thriller,2009
150540,Family,2015
150540,Drama,2015
150540,Comedy,2015
150540,Animation,2015
278927,Fantasy,2016
278927,Adventure,2016
278927,Family,2016
278927,Drama,2016
10138,Action,2010
10138,Adventure,2010
10138,Science Fiction,2010
58595,Fantasy,2012
58595,Adventure,2012
58595,Drama,2012
102651,Action,2014
102651,Fantasy,2014
102651,Adventure,2014
102651,Family,2014
102651,Romance,2014
119450,Action,2014
119450,Drama,2014
119450,Science Fiction,2014
119450,Thriller,2014
79698,Action,2015
79698,Adventure,2015
79698,Science Fiction,2015
79698,Romance,2015
64686,Action,2013
64686,Fantasy,2013
64686,Adventure,2013
64686,Drama,2013
100402,Action,2014
100402,Adventure,2014
100402,Science Fiction,2014
10192,Fantasy,2010
10192,Adventure,2010
10192,Family,2010
10192,Comedy,2010
10192,Animation,2010
158852,Adventure,2015
158852,Family,2015
158852,Science Fiction,2015
158852,Mystery,2015
177572,Action,2014
177572,Adventure,2014
177572,Family,2014
177572,Comedy,2014
177572,Animation,2014
82690,Adventure,2012
82690,Family,2012
82690,Comedy,2012
82690,Animation,2012
5255,Fantasy,2004
5255,Adventure,2004
5255,Family,2004
5255,Animation,2004
47933,Action,2016
47933,Adventure,2016
47933,Science Fiction,2016
10191,Fantasy,2010
10191,Adventure,2010
10191,Family,2010
10191,Animation,2010
296,Action,2003
296,Science Fiction,2003
296,Thriller,2003
118340,Action,2014
118340,Adventure,2014
118340,Science Fiction,2014
157336,Adventure,2014
157336,Drama,2014
157336,Science Fiction,2014
27205,Action,2010
27205,Adventure,2010
27205,Science Fiction,2010
27205,Thriller,2010
27205,Mystery,2010
315011,Action,2016
315011,Adventure,2016
315011,Drama,2016
315011,Science Fiction,2016
315011,Horror,2016
49051,Action,2012
49051,Fantasy,2012
49051,Adventure,2012
9799,Action,2001
9799,Crime,2001
9799,Thriller,2001
4922,Fantasy,2008
4922,Drama,2008
4922,Thriller,2008
4922,Romance,2008
4922,Mystery,2008
49538,Action,2011
49538,Adventure,2011
49538,Science Fiction,2011
131634,Action,2015
131634,Adventure,2015
131634,Science Fiction,2015
27022,Action,2010
27022,Fantasy,2010
27022,Adventure,2010
27022,Drama,2010
27022,Comedy,2010
503,Action,2006
503,Adventure,2006
503,Drama,2006
503,Thriller,2006
241259,Fantasy,2016
810,Fantasy,2007
810,Adventure,2007
810,Family,2007
810,Comedy,2007
810,Animation,2007
68735,Action,2016
68735,Fantasy,2016
68735,Adventure,2016
87101,Action,2015
87101,Adventure,2015
87101,Science Fiction,2015
87101,Thriller,2015
10140,Fantasy,2010
10140,Adventure,2010
10140,Family,2010
676,Romance,2001
676,History,2001
676,War,2001
1858,Action,2007
1858,Adventure,2007
1858,Science Fiction,2007
1966,Action,2004
1966,Adventure,2004
1966,Drama,2004
1966,Romance,2004
1966,History,2004
1966,War,2004
675,Fantasy,2007
675,Adventure,2007
675,Family,2007
675,Mystery,2007
674,Fantasy,2005
674,Adventure,2005
674,Family,2005
8960,Action,2008
8960,Fantasy,2008
6479,Action,2007
6479,Drama,2007
6479,Science Fiction,2007
6479,Thriller,2007
6479,Horror,2007
118,Fantasy,2005
118,Adventure,2005
118,Family,2005
118,Comedy,2005
2062,Fantasy,2007
2062,Family,2007
2062,Comedy,2007
2062,Animation,2007
272,Action,2005
272,Crime,2005
272,Drama,2005
10527,Family,2008
10527,Animation,2008
18360,Action,2009
18360,Fantasy,2009
18360,Adventure,2009
18360,Family,2009
18360,Comedy,2009
2080,Action,2009
2080,Adventure,2009
2080,Science Fiction,2009
2080,Thriller,2009
605,Action,2003
605,Adventure,2003
605,Science Fiction,2003
605,Thriller,2003
109445,Adventure,2013
109445,Family,2013
109445,Animation,2013
604,Action,2003
604,Adventure,2003
604,Science Fiction,2003
604,Thriller,2003
76338,Action,2013
76338,Fantasy,2013
76338,Adventure,2013
76341,Action,2015
76341,Adventure,2015
76341,Science Fiction,2015
76341,Thriller,2015
13448,Thriller,2009
13448,Mystery,2009
10195,Action,2011
10195,Fantasy,2011
10195,Adventure,2011
13053,Adventure,2008
13053,Family,2008
13053,Comedy,2008
13053,Animation,2008
19585,Action,2009
19585,Fantasy,2009
19585,Adventure,2009
19585,Family,2009
19585,Comedy,2009
57165,Adventure,2012
62213,Fantasy,2012
62213,Comedy,2012
177677,Action,2015
177677,Adventure,2015
177677,Thriller,2015
7978,Drama,2010
7978,Thriller,2010
7978,Horror,2010
5559,Adventure,2007
5559,Family,2007
5559,Comedy,2007
5559,Animation,2007
49444,Family,2011
49444,Animation,2011
10196,Action,2010
10196,Fantasy,2010
10196,Adventure,2010
10196,Family,2010
956,Action,2006
956,Adventure,2006
956,Thriller,2006
117251,Action,2013
117251,Drama,2013
117251,Thriller,2013
50321,Adventure,2011
50321,Family,2011
50321,Animation,2011
11619,Adventure,2006
11619,Family,2006
11619,Comedy,2006
11619,Animation,2006
266647,Fantasy,2015
266647,Adventure,2015
266647,Family,2015
82703,Adventure,2014
82703,Family,2014
82703,Animation,2014
652,Adventure,2004
652,Drama,2004
652,War,2004
80321,Family,2012
80321,Animation,2012
36669,Action,2002
36669,Adventure,2002
36669,Thriller,2002
43074,Action,2016
43074,Fantasy,2016
43074,Comedy,2016
95,Action,1998
95,Adventure,1998
95,Science Fiction,1998
95,Thriller,1998
608,Action,2002
608,Adventure,2002
608,Science Fiction,2002
608,Comedy,2002
2310,Action,2007
2310,Adventure,2007
2310,Animation,2007
140300,Action,2016
140300,Adventure,2016
140300,Family,2016
140300,Comedy,2016
140300,Animation,2016
56292,Action,2011
56292,Adventure,2011
56292,Thriller,2011
81188,Fantasy,2012
81188,Family,2012
81188,Animation,2012
7552,Comedy,2005
616,Action,2003
616,Drama,2003
616,History,2003
616,War,2003
147441,Action,2014
147441,Adventure,2014
147441,Drama,2014
13475,Action,2009
13475,Adventure,2009
13475,Science Fiction,2009
557,Action,2002
557,Fantasy,2002
82702,Action,2014
82702,Fantasy,2014
82702,Adventure,2014
82702,Family,2014
82702,Comedy,2014
82702,Animation,2014
205584,Fantasy,2016
10048,Action,2005
13183,Action,2009
13183,Science Fiction,2009
13183,Mystery,2009
944,Action,1998
944,Crime,1998
944,Adventure,1998
944,Thriller,1998
944,Comedy,1998
1927,Action,2003
1927,Drama,2003
1927,Science Fiction,2003
72559,Action,2013
72559,Adventure,2013
72559,Science Fiction,2013
72559,Thriller,2013
7364,Action,2005
7364,Adventure,2005
7364,Drama,2005
7364,Comedy,2005
7364,Mystery,2005
2114,Action,2001
2114,Fantasy,2001
2114,Adventure,2001
2114,Science Fiction,2001
2114,Thriller,2001
2114,Animation,2001
1771,Action,2011
1771,Adventure,2011
1771,Science Fiction,2011
36643,Action,1999
36643,Adventure,1999
36643,Thriller,1999
8619,Adventure,2003
50620,Fantasy,2012
50620,Adventure,2012
50620,Drama,2012
50620,Romance,2012
65759,Family,2011
65759,Comedy,2011
65759,Animation,2011
1724,Action,2008
1724,Adventure,2008
1724,Science Fiction,2008
267935,Fantasy,2016
267935,Adventure,2016
267935,Family,2016
281957,Adventure,2015
281957,Drama,2015
281957,Thriller,2015
281957,Western,2015
77950,Family,2013
77950,Animation,2013
44896,Adventure,2011
44896,Family,2011
44896,Comedy,2011
44896,Animation,2011
44896,Western,2011
270946,Adventure,2014
270946,Family,2014
270946,Comedy,2014
270946,Animation,2014
2503,Action,2007
2503,Drama,2007
2503,Thriller,2007
2503,Mystery,2007
9502,Adventure,2008
9502,Family,2008
9502,Comedy,2008
9502,Animation,2008
102899,Action,2015
102899,Adventure,2015
102899,Science Fiction,2015
101299,Action,2013
101299,Adventure,2013
101299,Science Fiction,2013
228161,Fantasy,2015
228161,Family,2015
228161,Science Fiction,2015
228161,Comedy,2015
228161,Animation,2015
74,Adventure,2005
74,Science Fiction,2005
74,Thriller,2005
8961,Action,2003
8961,Crime,2003
8961,Adventure,2003
8961,Thriller,2003
8961,Comedy,2003
417859,Action,2011
417859,Fantasy,2011
417859,Adventure,2011
417859,Family,2011
417859,Animation,2011
27576,Action,2010
27576,Thriller,2010
27576,Mystery,2010
86834,Adventure,2014
86834,Drama,2014
17578,Adventure,2011
17578,Animation,2011
17578,Mystery,2011
673,Fantasy,2004
673,Adventure,2004
673,Family,2004
6972,Drama,2008
82700,Action,2013
82700,Adventure,2013
82700,Science Fiction,2013
10567,Family,2000
10567,Animation,2000
181533,Fantasy,2014
181533,Adventure,2014
181533,Family,2014
181533,Comedy,2014
38055,Action,2010
38055,Family,2010
38055,Science Fiction,2010
38055,Comedy,2010
38055,Animation,2010
671,Fantasy,2001
671,Adventure,2001
671,Family,2001
49524,Action,2013
49524,Crime,2013
49524,Fantasy,2013
49524,Comedy,2013
22,Action,2003
22,Fantasy,2003
22,Adventure,2003
131631,Adventure,2014
131631,Science Fiction,2014
131631,Thriller,2014
591,Thriller,2006
591,Mystery,2006
172385,Adventure,2014
172385,Family,2014
172385,Comedy,2014
172385,Animation,2014
36658,Action,2003
36658,Adventure,2003
36658,Science Fiction,2003
36658,Thriller,2003
51497,Action,2011
51497,Crime,2011
51497,Thriller,2011
58574,Action,2011
58574,Crime,2011
58574,Adventure,2011
58574,Mystery,2011
18823,Action,2010
18823,Fantasy,2010
18823,Adventure,2010
861,Action,1990
861,Adventure,1990
861,Science Fiction,1990
1911,Action,1999
1911,Fantasy,1999
1911,Adventure,1999
49040,Action,2012
49040,Thriller,2012
415,Action,1997
415,Crime,1997
415,Fantasy,1997
8871,Fantasy,2000
8871,Family,2000
8871,Comedy,2000
435,Action,2004
435,Adventure,2004
435,Science Fiction,2004
435,Thriller,2004
955,Action,2000
955,Adventure,2000
955,Thriller,2000
2133,Drama,2000
1979,Action,2007
1979,Fantasy,2007
1979,Adventure,2007
1979,Thriller,2007
87827,Action,2012
87827,Adventure,2012
87827,Drama,2012
1250,Action,2007
1250,Fantasy,2007
1250,Thriller,2007
1250,Horror,2007
324668,Action,2016
324668,Thriller,2016
9471,Action,2003
9471,Adventure,2003
9471,Comedy,2003
70981,Adventure,2012
70981,Science Fiction,2012
70981,Mystery,2012
10996,Adventure,2002
10996,Family,2002
10996,Comedy,2002
10996,Animation,2002
68724,Action,2013
68724,Drama,2013
68724,Science Fiction,2013
68724,Thriller,2013
2789,Action,2004
2789,Science Fiction,2004
97020,Action,2014
97020,Science Fiction,2014
7459,Action,2008
7459,Family,2008
7459,Science Fiction,2008
42888,Drama,2010
42888,Comedy,2010
42888,Romance,2010
37834,Action,2010
37834,Comedy,2010
75612,Action,2013
75612,Adventure,2013
75612,Science Fiction,2013
75612,Mystery,2013
1895,Action,2005
1895,Adventure,2005
1895,Science Fiction,2005
1894,Action,2002
1894,Adventure,2002
1894,Science Fiction,2002
585,Family,2001
585,Comedy,2001
585,Animation,2001
76170,Action,2013
76170,Fantasy,2013
76170,Adventure,2013
76170,Science Fiction,2013
1893,Action,1999
1893,Adventure,1999
1893,Science Fiction,1999
49519,Fantasy,2013
49519,Adventure,2013
49519,Family,2013
49519,Comedy,2013
49519,Animation,2013
2395,Fantasy,2008
2395,Adventure,2008
2395,Family,2008
2395,Comedy,2008
12100,Action,2002
12100,Drama,2002
12100,History,2002
12100,War,2002
290595,Action,2016
290595,Adventure,2016
290595,Drama,2016
98566,Action,2014
98566,Fantasy,2014
98566,Adventure,2014
98566,Science Fiction,2014
98566,Comedy,2014
49047,Drama,2013
49047,Science Fiction,2013
49047,Thriller,2013
9619,Action,1997
9619,Adventure,1997
9619,Thriller,1997
308531,Action,2016
308531,Fantasy,2016
308531,Adventure,2016
308531,Comedy,2016
166424,Action,2015
166424,Adventure,2015
166424,Science Fiction,2015
1593,Action,2006
1593,Fantasy,2006
1593,Adventure,2006
1593,Family,2006
1593,Comedy,2006
254128,Action,2015
254128,Drama,2015
254128,Thriller,2015
714,Action,1997
714,Adventure,1997
714,Thriller,1997
2024,Action,2000
2024,Drama,2000
2024,History,2000
2024,War,2000
163,Crime,2004
163,Thriller,2004
787,Action,2005
787,Drama,2005
787,Thriller,2005
787,Comedy,2005
262500,Adventure,2015
262500,Science Fiction,2015
262500,Thriller,2015
2567,Drama,2004
38745,Comedy,2010
40805,Action,2011
40805,Crime,2011
40805,Comedy,2011
53182,Action,2014
53182,War,2014
41513,Fantasy,2011
41513,Adventure,2011
41513,Family,2011
41513,Comedy,2011
41513,Animation,2011
13700,Family,2004
13700,Animation,2004
262504,Adventure,2016
262504,Science Fiction,2016
39254,Action,2011
39254,Drama,2011
39254,Science Fiction,2011
77931,Fantasy,2013
77931,Family,2013
77931,Comedy,2013
77931,Animation,2013
1639,Action,1997
1639,Adventure,1997
1639,Thriller,1997
80274,Action,2013
80274,Adventure,2013
80274,Science Fiction,2013
1571,Action,2007
1571,Thriller,2007
120,Action,2001
120,Fantasy,2001
120,Adventure,2001
10204,Action,2004
10204,Adventure,2004
10204,Comedy,2004
8489,Drama,2001
10588,Fantasy,2003
10588,Family,2003
10588,Comedy,2003
2048,Action,2004
2048,Science Fiction,2004
1495,Action,2005
1495,Adventure,2005
1495,Drama,2005
1495,History,2005
1495,War,2005
10137,Fantasy,1999
10137,Family,1999
10137,Comedy,1999
10137,Animation,1999
10198,Family,2009
10198,Animation,2009
10198,Romance,2009
10198,Music,2009
286217,Adventure,2015
286217,Drama,2015
286217,Science Fiction,2015
1635,Action,2005
1635,Adventure,2005
1635,Science Fiction,2005
1635,Thriller,2005
24113,Comedy,2001
24113,Romance,2001
9679,Action,2000
9679,Crime,2000
9679,Thriller,2000
98,Action,2000
98,Adventure,2000
98,Drama,2000
180,Action,2002
180,Science Fiction,2002
180,Thriller,2002
180,Mystery,2002
672,Fantasy,2002
672,Adventure,2002
672,Family,2002
36557,Action,2006
36557,Adventure,2006
36557,Thriller,2006
869,Action,2001
869,Adventure,2001
869,Science Fiction,2001
869,Thriller,2001
280,Action,1991
280,Science Fiction,1991
280,Thriller,1991
11322,Crime,2009
11322,Drama,2009
11322,History,2009
4982,Crime,2007
4982,Drama,2007
36955,Action,1994
36955,Thriller,1994
18487,Crime,2009
18487,Drama,2009
18487,Thriller,2009
39451,Comedy,2010
39451,Romance,2010
27581,Action,2010
27581,Crime,2010
27581,Comedy,2010
9268,Action,1996
9268,Drama,1996
9268,Thriller,1996
9268,Mystery,1996
68718,Drama,2012
68718,Western,2012
10545,Family,1996
10545,Drama,1996
10545,Animation,1996
11688,Fantasy,2000
11688,Adventure,2000
11688,Family,2000
11688,Comedy,2000
11688,Animation,2000
76163,Action,2012
76163,Adventure,2012
76163,Thriller,2012
2059,Action,2004
2059,Adventure,2004
2059,Thriller,2004
2059,Mystery,2004
2486,Action,2006
2486,Fantasy,2006
2486,Adventure,2006
2486,Family,2006
16523,Fantasy,2009
16523,Family,2009
116711,Fantasy,2013
116711,Adventure,2013
116711,Family,2013
116711,Animation,2013
37710,Action,2010
37710,Thriller,2010
37710,Romance,2010
9946,Action,1999
9946,Fantasy,1999
9946,Horror,1999
9946,Mystery,1999
1372,Action,2006
1372,Drama,2006
1372,Thriller,2006
106646,Crime,2013
106646,Drama,2013
106646,Comedy,2013
414,Action,1995
414,Crime,1995
414,Fantasy,1995
563,Action,1997
563,Adventure,1997
563,Science Fiction,1997
563,Thriller,1997
83542,Drama,2012
83542,Science Fiction,2012
41216,Fantasy,2010
41216,Adventure,2010
41216,Family,2010
41216,Animation,2010
314,Action,2004
314,Crime,2004
184315,Action,2014
184315,Adventure,2014
9016,Fantasy,2002
9016,Adventure,2002
9016,Family,2002
9016,Science Fiction,2002
9016,Animation,2002
18162,Adventure,2009
18162,Science Fiction,2009
18162,Comedy,2009
138103,Action,2014
138103,Adventure,2014
138103,Thriller,2014
257088,Action,2015
257088,Crime,2015
257088,Thriller,2015
10214,Fantasy,2005
10214,Adventure,2005
10214,Family,2005
10214,Comedy,2005
205775,Action,2015
205775,Adventure,2015
205775,Drama,2015
205775,Thriller,2015
205775,History,2015
11692,Action,2002
11692,Science Fiction,2002
11692,Comedy,2002
22972,Action,2010
22972,Adventure,2010
22972,Drama,2010
22972,Thriller,2010
22972,War,2010
227973,Animation,2015
29193,Crime,1997
29193,Drama,1997
29193,Thriller,1997
29193,Mystery,1997
1734,Action,2001
1734,Fantasy,2001
1734,Adventure,2001
3131,Crime,2002
3131,Drama,2002
3131,History,2002
76758,Drama,2011
76758,History,2011
76758,War,2011
9408,Family,2007
9408,Comedy,2007
9408,Animation,2007
9890,Action,2004
9890,Science Fiction,2004
9890,Comedy,2004
855,Action,2001
855,History,2001
855,War,2001
77953,Comedy,2012
18,Action,1997
18,Fantasy,1997
18,Adventure,1997
18,Science Fiction,1997
18,Thriller,1997
37786,Drama,2010
37786,Comedy,2010
37786,Romance,2010
10501,Adventure,2000
10501,Family,2000
10501,Comedy,2000
10501,Animation,2000
57800,Adventure,2012
57800,Family,2012
57800,Comedy,2012
57800,Animation,2012
150689,Fantasy,2015
150689,Family,2015
150689,Drama,2015
150689,Romance,2015
7980,Fantasy,2009
7980,Drama,2009
12,Family,2003
12,Animation,2003
122,Action,2003
122,Fantasy,2003
122,Adventure,2003
121,Action,2002
121,Fantasy,2002
121,Adventure,2002
68737,Fantasy,2014
68737,Adventure,2014
1995,Action,2001
1995,Fantasy,2001
1995,Adventure,2001
1995,Thriller,2001
157353,Drama,2014
157353,Science Fiction,2014
157353,Thriller,2014
157353,Mystery,2014
331,Action,2001
331,Adventure,2001
331,Science Fiction,2001
331,Thriller,2001
61791,Action,2011
61791,Drama,2011
61791,Science Fiction,2011
61791,Thriller,2011
8204,Fantasy,2008
8204,Adventure,2008
8204,Family,2008
47964,Action,2013
47964,Thriller,2013
10733,Western,2004
10733,History,2004
10733,War,2004
9806,Action,2004
9806,Adventure,2004
9806,Family,2004
9806,Animation,2004
1408,Action,1995
1408,Adventure,1995
32657,Fantasy,2010
32657,Adventure,2010
32657,Family,2010
607,Action,1997
607,Adventure,1997
607,Science Fiction,1997
607,Comedy,1997
863,Family,1999
863,Comedy,1999
863,Animation,1999
44048,Action,2010
44048,Thriller,2010
5175,Action,2001
5175,Crime,2001
5175,Thriller,2001
5175,Comedy,2001
2655,Drama,2000
2655,Thriller,2000
2655,Horror,2000
2655,Mystery,2000
22794,Family,2009
22794,Comedy,2009
22794,Animation,2009
8355,Adventure,2009
8355,Family,2009
8355,Comedy,2009
8355,Animation,2009
116745,Fantasy,2013
116745,Adventure,2013
116745,Drama,2013
116745,Comedy,2013
4327,Action,2000
4327,Crime,2000
4327,Adventure,2000
4327,Thriller,2000
4327,Comedy,2000
1422,Crime,2006
1422,Drama,2006
1422,Thriller,2006
10674,Adventure,1998
10674,Family,1998
10674,Animation,1998
7446,Action,2008
7446,Comedy,2008
65754,Crime,2011
65754,Drama,2011
65754,Thriller,2011
65754,Mystery,2011
1572,Action,1995
1572,Thriller,1995
10528,Action,2009
10528,Crime,2009
10528,Adventure,2009
10528,Mystery,2009
271969,Drama,2016
10865,Adventure,2001
10865,Family,2001
10865,Science Fiction,2001
10865,Animation,2001
258509,Adventure,2015
258509,Family,2015
258509,Comedy,2015
258509,Animation,2015
2253,Drama,2008
2253,Thriller,2008
2253,History,2008
2253,War,2008
10661,Action,2008
10661,Comedy,2008
257344,Action,2015
257344,Science Fiction,2015
257344,Comedy,2015
644,Adventure,2001
644,Drama,2001
644,Science Fiction,2001
10756,Fantasy,2003
10756,Family,2003
10756,Thriller,2003
10756,Comedy,2003
10756,Mystery,2003
686,Drama,1997
686,Science Fiction,1997
686,Mystery,1997
9383,Action,2000
9383,Science Fiction,2000
9383,Thriller,2000
179,Crime,2005
179,Thriller,2005
76285,Fantasy,2013
76285,Adventure,2013
76285,Family,2013
1996,Action,2003
1996,Fantasy,2003
1996,Adventure,2003
1996,Thriller,2003
291805,Action,2016
291805,Crime,2016
291805,Adventure,2016
291805,Thriller,2016
291805,Comedy,2016
291805,Mystery,2016
10003,Action,1997
10003,Adventure,1997
10003,Science Fiction,1997
10003,Thriller,1997
10003,Romance,1997
1535,Action,2001
1535,Crime,2001
1535,Thriller,2001
2067,Science Fiction,2000
46195,Adventure,2011
46195,Family,2011
46195,Comedy,2011
46195,Animation,2011
2277,Science Fiction,1999
2277,Comedy,1999
10357,Action,1997
10357,Drama,1997
10357,Science Fiction,1997
10357,Thriller,1997
4477,Crime,1997
4477,Drama,1997
4477,Thriller,1997
8665,Drama,2002
8665,Thriller,2002
8665,History,2002
9387,Action,1982
9387,Fantasy,1982
9387,Adventure,1982
921,Drama,2005
921,Romance,2005
921,History,2005
49852,Action,2010
49852,Fantasy,2010
49852,Family,2010
4464,Drama,2003
4464,History,2003
664,Action,1996
664,Adventure,1996
664,Drama,1996
8358,Adventure,2000
8358,Drama,2000
9836,Comedy,2006
9836,Animation,2006
2502,Action,2004
2502,Drama,2004
2502,Thriller,2004
9772,Action,1997
9772,Thriller,1997
161,Crime,2001
161,Thriller,2001
52451,Action,2011
52451,Adventure,2011
52451,Thriller,2011
76492,Fantasy,2012
76492,Family,2012
76492,Comedy,2012
76492,Animation,2012
4523,Fantasy,2007
4523,Family,2007
4523,Comedy,2007
4523,Romance,2007
59961,Action,2012
59961,Thriller,2012
10481,Family,2000
10481,Comedy,2000
59108,Action,2011
59108,Comedy,2011
1581,Comedy,2006
1581,Romance,2006
9798,Action,1998
9798,Drama,1998
9798,Thriller,1998
22897,Comedy,2009
22897,Romance,2009
298,Crime,2007
298,Thriller,2007
7484,Adventure,2006
7484,Family,2006
7484,Animation,2006
157350,Action,2014
157350,Adventure,2014
157350,Science Fiction,2014
853,War,2001
10159,Action,2003
10159,Adventure,2003
10159,Thriller,2003
10159,Comedy,2003
9593,Action,1993
9593,Fantasy,1993
9593,Adventure,1993
9593,Family,1993
9593,Comedy,1993
1904,Drama,2005
1904,Romance,2005
1904,History,2005
9615,Action,2006
9615,Crime,2006
9615,Drama,2006
9615,Thriller,2006
51052,Family,2011
51052,Drama,2011
51052,Comedy,2011
51052,Animation,2011
297,Fantasy,1998
297,Drama,1998
297,Mystery,1998
9884,Action,2002
9884,Drama,2002
9884,Thriller,2002
16858,Drama,1979
16858,Music,1979
62764,Fantasy,2012
62764,Adventure,2012
62764,Family,2012
62764,Drama,2012
62764,Science Fiction,2012
62764,Comedy,2012
22538,Action,2010
22538,Adventure,2010
22538,Comedy,2010
9341,Action,2003
9341,Adventure,2003
9341,Science Fiction,2003
9341,Thriller,2003
12107,Fantasy,2000
12107,Science Fiction,2000
12107,Comedy,2000
12107,Romance,2000
9637,Adventure,2002
9637,Comedy,2002
9637,Mystery,2002
49049,Action,2012
49049,Science Fiction,2012
9339,Fantasy,2006
9339,Drama,2006
9339,Comedy,2006
9339,Romance,2006
16281,Fantasy,1982
16281,Comedy,1982
16281,Horror,1982
39691,Family,2010
