budget,genres,id,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,Country - Afghanistan,Country - Algeria,Country - Angola,Country - Argentina,Country - Aruba,Country - Australia,Country - Austria,Country - Belgium,Country - Bhutan,Country - Bolivia,Country - Bosnia and Herzegovina,Country - Brazil,Country - Bulgaria,Country - Cambodia,Country - Cameroon,Country - Canada,Country - Chile,Country - China,Country - Colombia,Country - Cyprus,Country - Czech Republic,Country - Denmark,Country - Dominica,Country - Dominican Republic,Country - Ecuador,Country - Egypt,Country - Fiji,Country - Finland,Country - France,Country - Germany,Country - Greece,Country - Guadaloupe,Country - Guyana,Country - Hong Kong,Country - Hungary,Country - Iceland,Country - India,Country - Indonesia,Country - Iran,Country - Ireland,Country - Israel,Country - Italy,Country - Jamaica,Country - Japan,Country - Jordan,Country - Kazakhstan,Country - Kenya,Country - Kyrgyz Republic,Country - Lebanon,Country - Libyan Arab Jamahiriya,Country - Lithuania,Country - Luxembourg,Country - Malaysia,Country - Malta,Country - Mexico,Country - Monaco,Country - Morocco,Country - Netherlands,Country - New Zealand,Country - Nigeria,Country - Norway,Country - Pakistan,Country - Panama,Country - Peru,Country - Philippines,Country - Poland,Country - Portugal,Country - Romania,Country - Russia,Country - Singapore,Country - Slovakia,Country - Slovenia,Country - South Africa,Country - South Korea,Country - Spain,Country - Sweden,Country - Switzerland,Country - Taiwan,Country - Thailand,Country - Tunisia,Country - Turkey,Country - Ukraine,Country - United Arab Emirates,Country - United Kingdom,Country - United States of America,Country - Serbia and Montenegro,Country - Serbia,Genre - Action,Genre - Crime,Genre - Fantasy,Genre - Adventure,Genre - Family,Genre - Drama,Genre - Science Fiction,Genre - Thriller,Genre - Comedy,Genre - Animation,Genre - Romance,Genre - Western,Genre - Horror,Genre - History,Genre - War,Genre - Mystery,Genre - Music,Genre - TV Movie,Genre - Foreign,Genre - Documentary
270000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1452,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",38896,391081192,154,Superman Returns,5.4,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,action,,fantasy,adventure,,,science,,,,,,,,,,,,,
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",10764,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39751,586090727,106,Quantum of Solace,6.1,2965,,,,,,,,,,,,,,,,,,,,,,,Dominica,,,,,,,,,,,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,crime,,adventure,,,,thriller,,,,,,,,,,,,
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",58,"[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]",38888,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
255000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",57201,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41458,89289910,149,The Lone Ranger,5.9,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,action,,,adventure,,,,,,,,western,,,,,,,,
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",49521,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41437,662845518,143,Man of Steel,6.5,6359,,,,,,,,,,,,,,,,,,,,,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,,,,,,Slovenia,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,science,,,,,,,,,,,,,
225000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2454,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39583,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,fantasy,adventure,family,,,,,,,,,,,,,,,
220000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",24428,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41024,1519557910,143,The Avengers,7.4,11776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
380000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1865,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40677,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",41154,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41052,624026776,106,Men in Black 3,6.2,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,,,,science,,comedy,,,,,,,,,,,
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",122917,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41983,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
215000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1930,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41087,752215857,136,The Amazing Spider-Man,6.5,6586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",20662,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40310,310669540,140,Robin Hood,6.2,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,,,,,,,,,,,,,,
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",57158,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41619,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,,,fantasy,adventure,,,,,,,,,,,,,,,,
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2268,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39420,372234864,113,The Golden Compass,5.8,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,fantasy,adventure,,,,,,,,,,,,,,,,
207000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",254,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",38700,550000000,187,King Kong,6.6,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,drama,,,,,,,,,,,,,,
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",597,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",35752,1845034188,194,Titanic,7.5,7562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,drama,,thriller,,,romance,,,,,,,,,
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",271110,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",42487,1153304495,147,Captain America: Civil War,7.1,7241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
209000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",44833,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41010,303025485,131,Battleship,5.5,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,thriller,,,,,,,,,,,,
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",135397,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",42164,1513528810,124,Jurassic World,6.5,8662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,action,,,adventure,,,science,thriller,,,,,,,,,,,,
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41207,1108561013,143,Skyfall,6.9,7604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,,thriller,,,,,,,,,,,,
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",38163,783766341,127,Spider-Man 2,6.7,4321,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",68721,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41382,1215439994,130,Iron Man 3,6.8,8806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
200000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",12155,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40240,1025491110,108,Alice in Wonderland,6.4,4645,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,,,fantasy,adventure,family,,,,,,,,,,,,,,,
210000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",36668,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",38861,459359555,104,X-Men: The Last Stand,6.3,3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,thriller,,,,,,,,,,,,
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",62211,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41445,743559607,104,Monsters University,7,3528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,family,,,,,animation,,,,,,,,,,
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",8373,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39983,836297228,150,Transformers: Revenge of the Fallen,6,3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
210000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",91314,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41815,1091405097,165,Transformers: Age of Extinction,5.8,3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
200000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",68728,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41340,491868548,130,Oz: The Great and Powerful,5.7,3530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,fantasy,adventure,family,,,,,,,,,,,,,,,
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41745,705717432,142,The Amazing Spider-Man 2,6.5,4179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",20526,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40522,400062763,125,TRON: Legacy,6.3,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49013,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40705,559852396,106,Cars 2,5.8,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,adventure,family,,,,comedy,animation,,,,,,,,,,
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",44912,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40710,219851172,114,Green Lantern,5.1,2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,thriller,,,,,,,,,,,,
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",10193,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40345,1066969703,103,Toy Story 3,7.6,4597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,,,,,family,,,,comedy,animation,,,,,,,,,,
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",534,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39953,371353001,115,Terminator Salvation,5.9,2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,,,,science,thriller,,,,,,,,,,,,
