budget,genres,id,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,main_genre
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",57158,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/11/13,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524,Adventure
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2268,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/04/07,372234864,113,The Golden Compass,5.8,1303,Adventure
207000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",254,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",12/14/05,550000000,187,King Kong,6.6,2337,Adventure
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",597,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/18/97,1845034188,194,Titanic,7.5,7562,Drama
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",271110,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/27/16,1153304495,147,Captain America: Civil War,7.1,7241,Adventure
209000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",44833,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/11/12,303025485,131,Battleship,5.5,2114,Thriller
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",135397,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/09/15,1513528810,124,Jurassic World,6.5,8662,Action
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/25/12,1108561013,143,Skyfall,6.9,7604,Action
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/25/04,783766341,127,Spider-Man 2,6.7,4321,Action
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",68721,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/18/13,1215439994,130,Iron Man 3,6.8,8806,Action
200000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",12155,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/03/10,1025491110,108,Alice in Wonderland,6.4,4645,Family
210000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",36668,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/24/06,459359555,104,X-Men: The Last Stand,6.3,3525,Adventure
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",62211,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/20/13,743559607,104,Monsters University,7,3528,Animation
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",8373,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/19/09,836297228,150,Transformers: Revenge of the Fallen,6,3138,Science Fiction
210000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",91314,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/25/14,1091405097,165,Transformers: Age of Extinction,5.8,3095,Science Fiction
200000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",68728,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/07/13,491868548,130,Oz: The Great and Powerful,5.7,3530,Fantasy
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/16/14,705717432,142,The Amazing Spider-Man 2,6.5,4179,Action
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",20526,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/10/10,400062763,125,TRON: Legacy,6.3,2841,Adventure
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49013,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/11/11,559852396,106,Cars 2,5.8,2033,Animation
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",44912,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/16/11,219851172,114,Green Lantern,5.1,2487,Adventure
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",10193,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/16/10,1066969703,103,Toy Story 3,7.6,4597,Animation
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",534,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/20/09,371353001,115,Terminator Salvation,5.9,2463,Action
190000000,"[{""id"": 28, ""name"": ""Action""}]",168259,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/01/15,1506249360,137,Furious 7,7.3,4176,Action
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",72190,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}]",6/20/13,531865000,116,World War Z,6.7,5560,Action
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",127585,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/15/14,747862775,131,X-Men: Days of Future Past,7.5,6032,Action
190000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",54138,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/05/13,467365246,132,Star Trek Into Darkness,7.4,4418,Action
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",81005,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/27/13,197687603,114,Jack the Giant Slayer,5.5,2598,Action
105000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",64682,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",5/10/13,351040419,143,The Great Gatsby,7.3,3769,Drama
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",9543,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/19/10,335154643,116,Prince of Persia: The Sands of Time,6.2,2317,Adventure
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",68726,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",7/11/13,407602906,131,Pacific Rim,6.7,4794,Action
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",38356,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/28/11,1123746996,154,Transformers: Dark of the Moon,6.1,3299,Action
185000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",217,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/21/08,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Adventure
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",105864,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/14/15,331926147,93,The Good Dinosaur,6.6,1736,Adventure
185000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",62177,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/21/12,538983207,93,Brave,6.7,4641,Animation
185000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",188927,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/07/16,343471816,122,Star Trek Beyond,6.6,2568,Action
180000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10681,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/22/08,521311860,98,WALL·E,7.8,6296,Animation
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",5174,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/08/07,258022233,91,Rush Hour 3,6.1,783,Action
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",14161,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/10/09,769653595,158,2012,5.6,4903,Action
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",17979,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/04/09,325233863,96,A Christmas Carol,6.6,1095,Animation
176000003,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",76757,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/04/15,183987723,124,Jupiter Ascending,5.2,2768,Science Fiction
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",258489,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/29/16,356743061,109,The Legend of Tarzan,5.5,2430,Action
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",411,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/07/05,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Adventure
178000000,"[{""id"": 878, ""name"": ""Science Fiction""}]",246655,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/18/16,543934787,144,X-Men: Apocalypse,6.4,4721,Science Fiction
185000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",155,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/16/08,1004558444,152,The Dark Knight,8.2,12002,Drama
175000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",14160,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/13/09,735099082,96,Up,7.7,6870,Animation
175000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",15512,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/19/09,381509870,94,Monsters vs Aliens,6,1423,Animation
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",1726,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/30/08,585174222,126,Iron Man,7.4,8776,Action
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",44826,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",11/22/11,185770160,126,Hugo,7,2141,Adventure
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",8487,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/29/99,222104681,106,Wild Wild West,5.1,1020,Action
145000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1735,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/01/08,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Adventure
175000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",297761,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/02/16,745000000,123,Suicide Squad,5.9,7458,Action
175000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2698,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/09/07,173000000,96,Evan Almighty,5.3,1151,Fantasy
178000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",137113,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/27/14,370541256,113,Edge of Tomorrow,7.6,4858,Action
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",9804,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/28/95,264218220,135,Waterworld,5.9,992,Adventure
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",14869,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/04/09,302469017,118,G.I. Joe: The Rise of Cobra,5.6,1962,Adventure
175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",150540,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/09/15,857611174,94,Inside Out,8,6560,Drama
175000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",278927,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/07/16,966550600,106,The Jungle Book,6.7,2892,Family
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",10138,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/28/10,623933331,124,Iron Man 2,6.6,6849,Adventure
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",58595,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/30/12,396600000,127,Snow White and the Huntsman,5.8,3118,Adventure
180000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",102651,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/28/14,758539785,97,Maleficent,7,4496,Fantasy
170000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",119450,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/26/14,710644566,130,Dawn of the Planet of the Apes,7.3,4410,Science Fiction
27000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",79698,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""IN"", ""name"": ""India""}]",2/13/15,0,109,The Lovers,4.8,34,Action
175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",64686,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/06/13,150962475,119,47 Ronin,5.9,1326,Drama
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",100402,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/20/14,714766572,136,Captain America: The Winter Soldier,7.6,5764,Action
